uri,notation,label_fi,label_sv,label_en
http://www.yso.fi/onto/yso/p17709,,taideaineet,estetiska ämnen,arts subjects
http://www.yso.fi/onto/yso/p1771,,pääsiäinen,påsk,Easter
http://www.yso.fi/onto/yso/p17710,,hengellisyys,andlighet (religiositet),religious spirituality
http://www.yso.fi/onto/yso/p17711,,uskonelämä,trosliv,religious life
http://www.yso.fi/onto/yso/p17712,,Luganon sopimus,Luganokonventionen,Lugano Convention
http://www.yso.fi/onto/yso/p17713,,luonnontila,naturtillstånd,natural state
http://www.yso.fi/onto/yso/p17714,,Tarton rauha,freden i Dorpat,Treaty of Tartu
http://www.yso.fi/onto/yso/p17715,,esisokraattinen filosofia,försokratisk filosofi,pre-Socratic philosophy
http://www.yso.fi/onto/yso/p17716,,lapinkylät,samebyar,Sami villages
http://www.yso.fi/onto/yso/p17717,,vasat,kalvar (hjortdjur),fawns
http://www.yso.fi/onto/yso/p17718,,valssaus,valsning,rolling (metal-work)
http://www.yso.fi/onto/yso/p1772,,vertaileva tutkimus,jämförande forskning,comparative research
http://www.yso.fi/onto/yso/p17720,,sosiaaliset oikeudet,sociala rättigheter,social rights
http://www.yso.fi/onto/yso/p17721,,rannikkoliikenne,kusttrafik,cabotage
http://www.yso.fi/onto/yso/p17722,,sivutyö,extraarbete,secondary employment
http://www.yso.fi/onto/yso/p17723,,ihotautilääkärit,dermatologer,dermatologists
http://www.yso.fi/onto/yso/p17724,,hyperboliset funktiot,hyperboliska funktioner,hyperbolic functions
http://www.yso.fi/onto/yso/p17725,,Java ME,Java ME,Java ME
http://www.yso.fi/onto/yso/p17727,,Maailmanuskontojen parlamentin julistus,Världsreligionernas parlaments deklaration,Declaration of the Parliament of the World's Religions
http://www.yso.fi/onto/yso/p17728,,kaupunkiluonto,stadsnatur,urban nature
http://www.yso.fi/onto/yso/p17729,,maksasyöpä,levercancer,liver cancer
http://www.yso.fi/onto/yso/p1773,,kontrastiivinen tutkimus,kontrastiv forskning,contrastive research
http://www.yso.fi/onto/yso/p17730,,kihti,gikt,gout
http://www.yso.fi/onto/yso/p17731,,nahkatyöt,läderarbeten,leatherwork
http://www.yso.fi/onto/yso/p17733,,huulisyöpä,läppcancer,lip cancer
http://www.yso.fi/onto/yso/p17734,,ammatilliset aikuiskoulutuskeskukset,yrkesutbildningscentrer för vuxna,vocational adult education centres
http://www.yso.fi/onto/yso/p17735,,ammattikurssikeskukset,yrkeskurscentraler,vocational course centres
http://www.yso.fi/onto/yso/p17736,,migreeni,migrän,migraine
http://www.yso.fi/onto/yso/p17737,,kevätviljat,vårsäd,spring grain
http://www.yso.fi/onto/yso/p17738,,syysviljat,höstsäd,winter grains
http://www.yso.fi/onto/yso/p17739,,kunniakirjat,diplom,certificates of honour
http://www.yso.fi/onto/yso/p1774,,vapaa tahto,fri vilja,free will
http://www.yso.fi/onto/yso/p17740,,vaateliikkeet,klädaffärer,clothing shops
http://www.yso.fi/onto/yso/p17741,,elokuvamusiikki,filmmusik,film music
http://www.yso.fi/onto/yso/p17742,,korroosionkestävyys,korrosionsbeständighet,corrosion resistance
http://www.yso.fi/onto/yso/p17743,,peilikaukoputket,spegelteleskop,reflecting telescopes
http://www.yso.fi/onto/yso/p17744,,asiaohjelmat,faktaprogram,factual programmes
http://www.yso.fi/onto/yso/p17745,,einekset,färdigmat,convenience foods
http://www.yso.fi/onto/yso/p17746,,valmisruoat,färdigrätter,processed foods
http://www.yso.fi/onto/yso/p17747,,Matrosan taistelu,slaget vid Matrosa,Battle of Matroosa
http://www.yso.fi/onto/yso/p17748,,avomaaviljely,frilandsodling,open-field production
http://www.yso.fi/onto/yso/p17749,,rinnakkaiskäyttö,parallellanvändning,parallel use
http://www.yso.fi/onto/yso/p1775,,tahto,vilja,will (mental qualities)
http://www.yso.fi/onto/yso/p17750,,kulttuurilaitokset,kulturinstitutioner,cultural institutions
http://www.yso.fi/onto/yso/p17751,,kulttuuritoimi,kulturväsen,department of cultural services
http://www.yso.fi/onto/yso/p17752,,saattohoito,terminalvård,terminal care
http://www.yso.fi/onto/yso/p17753,,pikkujärvisimpukka,allmän dammussla,Anodonta anatina
http://www.yso.fi/onto/yso/p17754,,CP-vammaiset,personer med cerebral pares,cerebral palsied
http://www.yso.fi/onto/yso/p17756,,hiihtokeskukset,skidcentra,ski resorts
http://www.yso.fi/onto/yso/p17757,,ksenon,xenon,xenon
http://www.yso.fi/onto/yso/p17758,,kiertueet,turnéer,tours
http://www.yso.fi/onto/yso/p17759,,sävellajit,tonarter,keys (tone systems)
http://www.yso.fi/onto/yso/p1776,,tahdonvapaus,viljans frihet,freedom of will
http://www.yso.fi/onto/yso/p17760,,siemenkasvit,fröväxter,seed plants
http://www.yso.fi/onto/yso/p17761,,jäteveden käsittely,avloppsvattenhantering,waste water treatment
http://www.yso.fi/onto/yso/p17762,,indrit,indrier,indris
http://www.yso.fi/onto/yso/p17763,,ohjukset,missiler,missiles
http://www.yso.fi/onto/yso/p17764,,torpedot,torpeder,torpedoes
